"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LSP1",0,0.841578538221195,0.802,0.544,0,"1","LSP1"
"CORO1A1",0,0.899637970234262,0.862,0.604,0,"1","CORO1A"
"BIN2",0,0.99678142906867,0.589,0.331,0,"1","BIN2"
"LAT1",0,1.05808932547901,0.516,0.261,0,"1","LAT"
"PPP2R5C1",0,1.06011005879292,0.704,0.449,0,"1","PPP2R5C"
"CD521",0,0.777661920627156,0.868,0.615,0,"1","CD52"
"ABHD17A",0,1.13077725596982,0.659,0.406,0,"1","ABHD17A"
"SELPLG",0,0.974962089672737,0.564,0.311,0,"1","SELPLG"
"PRDM1",0,1.05107743256974,0.543,0.291,0,"1","PRDM1"
"ITGA4",0,0.986605182358982,0.602,0.353,0,"1","ITGA4"
"CLEC2B",0,1.01724952729614,0.615,0.367,0,"1","CLEC2B"
"PAXX",0,1.15211210551111,0.643,0.396,0,"1","PAXX"
"ITM2A1",0,1.04853922782235,0.561,0.316,0,"1","ITM2A"
"CD691",0,0.473302021130667,0.714,0.469,0,"1","CD69"
"RAC21",0,0.787535401031781,0.817,0.575,0,"1","RAC2"
"ETS11",0,0.581287042050962,0.805,0.564,0,"1","ETS1"
"CD99",0,1.01903933148162,0.86,0.619,0,"1","CD99"
"GIMAP41",0,0.855955266845187,0.569,0.329,0,"1","GIMAP4"
"EVL1",0,0.787679087213212,0.736,0.497,0,"1","EVL"
"PIP4K2A",0,1.05182793271768,0.575,0.339,0,"1","PIP4K2A"
"SYNE1",0,1.20515096808411,0.526,0.291,0,"1","SYNE1"
"TBC1D10C",0,0.913796626217966,0.558,0.325,0,"1","TBC1D10C"
"PCED1B-AS11",0,0.783402056606098,0.601,0.369,0,"1","PCED1B-AS1"
"LCP21",0,0.807016074856555,0.579,0.349,0,"1","LCP2"
"ANXA1",0,0.549243284498359,0.77,0.542,0,"1","ANXA1"
"CXCR4",0,0.691726981767004,0.875,0.648,0,"1","CXCR4"
"TGFB1",0,0.800576546124409,0.736,0.51,0,"1","TGFB1"
"EFHD2",0,0.984973479020993,0.609,0.385,0,"1","EFHD2"
"ZEB2",0,0.84777223855293,0.525,0.303,0,"1","ZEB2"
"CYTIP1",0,0.580304601233784,0.729,0.507,0,"1","CYTIP"
"HLA-F1",0,0.87410861503734,0.78,0.561,0,"1","HLA-F"
"S100A4",0,0.729213390832968,0.856,0.638,0,"1","S100A4"
"EMB",0,0.946418766712026,0.555,0.339,0,"1","EMB"
"PSMB9",0,0.950880516196539,0.717,0.501,0,"1","PSMB9"
"ID2",0,0.699323162622292,0.625,0.411,0,"1","ID2"
"IKZF11",0,0.612594434834023,0.675,0.461,0,"1","IKZF1"
"SYNE2",0,0.763484014767859,0.618,0.405,0,"1","SYNE2"
"ACAP11",0,0.764146978141451,0.567,0.357,0,"1","ACAP1"
"CBLB",0,1.03893075631189,0.516,0.307,0,"1","CBLB"
"CD481",0,0.493775978159757,0.745,0.536,0,"1","CD48"
"CRIP1",0,0.592730651181018,0.783,0.578,0,"1","CRIP1"
"ADGRE5",0,0.860027418394296,0.571,0.366,0,"1","ADGRE5"
"ARHGDIB1",0,0.706727743575865,0.933,0.73,0,"1","ARHGDIB"
"PIK3R11",0,1.01915178788124,0.644,0.443,0,"1","PIK3R1"
"GMFG1",0,0.541351426844953,0.754,0.554,0,"1","GMFG"
"TAGAP1",0,0.76945049947693,0.591,0.392,0,"1","TAGAP"
"APBB1IP",0,0.811484806030174,0.565,0.366,0,"1","APBB1IP"
"SUN2",0,0.94796717690959,0.576,0.378,0,"1","SUN2"
"LITAF",0,0.705956653067439,0.718,0.521,0,"1","LITAF"
"TRAF3IP31",0,0.712254981793982,0.555,0.359,0,"1","TRAF3IP3"
"CD53",0,0.520962913192415,0.719,0.523,0,"1","CD53"
"ARHGEF11",0,0.762394245288856,0.632,0.438,0,"1","ARHGEF1"
"CTSC",0,0.684717467967335,0.583,0.389,0,"1","CTSC"
"WIPF1",0,0.769953021409178,0.633,0.442,0,"1","WIPF1"
"ICAM31",0,0.698074791953211,0.607,0.416,0,"1","ICAM3"
"IQGAP2",0,0.867629289723861,0.508,0.318,0,"1","IQGAP2"
"ZBTB38",0,1.06423684669488,0.528,0.339,0,"1","ZBTB38"
"ANXA6",0,0.893213924169266,0.575,0.387,0,"1","ANXA6"
"MBP",0,0.822700062837523,0.564,0.376,0,"1","MBP"
"SPOCK21",0,0.462364485657122,0.533,0.348,0,"1","SPOCK2"
"FLNA",0,0.754900331588449,0.63,0.445,0,"1","FLNA"
"HCLS1",0,0.561502600573362,0.681,0.497,0,"1","HCLS1"
"ALDOA1",0,0.528825538918309,0.63,0.448,0,"1","ALDOA"
"ISG20",0,0.581892936096213,0.676,0.498,0,"1","ISG20"
